# file:		F_SBB_00001_18800101_009_001_0_003
# sbb url:	http://zefys.staatsbibliothek-berlin.de/kalender/auswahl/date/1880-01-01/27646518/
# tel url:	http://www.theeuropeanlibrary.org/tel4/newspapers/issue/3000097231562?page=3
. O
Die O
Landstrasse O
war O
schon O
viel O
befahren O
worden O
, O
so O
dass O
der O
Autobus O
gut O
vorwärtskam O
; O
ausserdem O
hatte O
er O
Schneeschaufeln O
an O
den O
Rädern O
. O
Frau O
Halvorsen B-PER
hielt O
sich O
ungefähr O
eine O
Stunde O
in O
der O
Stadt O
auf O
, O
um O
mit O
Rücksicht O
auf O
Hammels B-PER
bevorstehende O
Ankunft O
Einkäufe O
zu O
machen O
. O
Um O
13 O
Uhr O
war O
sie O
zu O
Hause O
. O
Indem O
sie O
von O
der O
Hauptlandstrasse O
in O
den O
Seitenweg O
einbog O
, O
konnte O
sie O
des O
Schnees O
wegen O
kaum O
vorwärtskommen O
. O
Der O
Garten O
und O
alles O
war O
mit O
einer O
dicken O
, O
ganz O
unberührten O
Schneeschicht O
bedeckt O
. O
Während O
sie O
sich O
zum O
Haus O
durcharbeitete O
, O
überlegte O
sie O
, O
ob O
sie O
sich O
jemand O
zum O
Schneeschaufeln O
kommen O
lassen O
sollte O
; O
die O
Arbeit O
würde O
ihre O
Kräfte O
wohl O
übersteigen O
. O
Als O
sie O
endlich O
vor O
der O
Haustür O
stand O
und O
aufschliessen O
wollte O
, O
wurde O
sie O
so O
überrascht O
, O
dass O
sie O
sich O
ans O
Herz O
greifen O
musste O
, O
so O
klopfte O
es O
. O
Die O
Tür O
war O
nicht O
verschlossen O
. O
Und O
nicht O
allein O
, O
dass O
sie O
nicht O
verschlossen O
war O
, O
sie O
stand O
sogar O
einen O
Spalt O
breit O
offen O
. O
„ O
Himmlische O
Güte O
“ O
, O
murmelte O
sie O
und O
überlegte O
. O
Wie O
war O
es O
doch O
noch O
am O
Sonnabend O
gewesen O
? O
Plötzlich O
erinnerte O
sie O
sich O
ganz O
deutlich O
daran O
, O
dass O
sie O
die O
Tür O
verschlossen O
hatte O
. O
Auch O
an O
Axelsons B-PER
Bemerkung O
erinnerte O
sie O
sich O
: O
„ O
Soll O
ich O
Ihnen O
helfen O
, O
Frau O
Halvorsen B-PER
? O
“ O
Mit O
zitternden O
Knien O
trat O
sie O
herein O
und O
sah O
sich O
im O
Entree O
, O
um O
. O
Nein O
, O
alles O
schien O
beim O
alten O
zu O
sein O
, O
dort O
hing O
noch O
Hammels O
kostbarer O
Autopelz O
. O
Sie O
ging O
in O
die O
Küche O
, O
die O
ihr O
unwillkürlich O
am O
meisten O
am O
Herzen O
lag O
. O
Alles O
aber O
befand O
sich O
am O
Platz O
, O
wie O
sie O
es O
verlassen O
hatte O
. O
Dann O
ging O
sie O
durch O
die O
Zimmer O
, O
indem O
sie O
die O
Türen O
zögernd O
und O
vorsichtig O
öffnete O
, O
als O
erwarte O
sie O
einen O
furchtbaren O
Anblick O
. O
Aber O
sie O
fand O
nichts O
, O
alles O
war O
unberührt O
, O
nur O
waren O
die O
Zimmer O
sehr O
kalt O
. O
Schliesslich O
kam O
sie O
ins O
Wohnzimmer O
, O
das O
zugleich O
Hammels O
Arbeitszimmer O
war O
, O
und O
schon O
als O
sie O
die O
Tür O
öffnete O
bekam O
sie O
dasselbe O
Herzklopfen O
wie O
vorhin O
vor O
der O
Haustür O
. O
Drinnen O
brannte O
das O
elektrische O
Licht O
die O
Lampe O
unter O
der O
Decke O
und O
auch O
die O
Schreibtischlampe O
. O
Die O
braunen O
Fenstervorhänge O
waren O
zugezogen O
. O
Schwankenden O
Schrittes O
trat O
sie O
ein O
; O
die O
furchtbare O
Stille O
verstärkte O
noch O
ihre O
Unruhe O
. O
Da O
sah O
sie O
ein O
Paar O
unbewegliche O
Herren-Stiefel O
über O
den O
Rand O
des O
Diwans O
ragen O
Sie O
sah O
nur O
die O
Füsse O
, O
denn O
der O
Diwan O
wurde O
von O
einem O
grossen O
amerikanischen O
Ledersessel O
verdeckt O
. O
Und O
plötzlich O
durchzuckte O
sie O
der O
freudige O
Gedanke O
; O
Sollte O
Hammel B-PER
nach O
Hause O
gekommen O
sein O
? O
Lag O
er O
dort O
und O
schlief O
nach O
den O
Anstrengungen O
der O
Reise O
? O
Wäre O
ihr O
dieser O
Gedanke O
nicht O
gekommen O
, O
so O
würde O
sie O
nicht O
den O
Mut O
gefunden O
haben O
, O
sich O
weiter O
im O
Zimmer O
umzusehen O
. O
So O
aber O
ging O
sie O
auf O
den O
Diwan O
zu O
. O
Aber O
es O
war O
nicht O
Hammel B-PER
. O
Dort O
lag O
ein O
fremder O
Mann O
. O
Anfangs O
war O
sie O
nicht O
imstande O
, O
irgendetwas O
zu O
denken O
, O
dies O
lag O
ausserhalb O
ihres O
Fassungsvermögens O
. O
Sie O
musste O
stückweise O
überlegen O
: O
Der O
Fremde O
, O
der O
dort O
lag O
... O
still O
und O
unbeweglich O
, O
als O
ob O
er O
schliefe O
... O
aber O
er O
schlief O
gar O
nicht O
... O
er O
war O
... O
und O
das O
furchtbare O
Rote O
, O
das O
von O
seinem O
Ohr O
über O
die O
Diwandecke O
rann O
... O
tot O
, O
er O
war O
ja O
... O
Und O
plötzlich O
schrie O
sie O
laut O
auf O
. O
Vielleicht O
hätte O
ein O
anderer O
in O
solcher O
Lage O
mehr O
Geistesgegenwart O
bewahrt O
, O
Frau O
Halvorsen B-PER
aber O
war O
eine O
alte O
Dame O
, O
die O
ein O
langes O
, O
friedliches O
Leben O
ohne O
Erschütterungen O
hinter O
sich O
hatte O
. O
Es O
fiel O
ihr O
gar O
nicht O
ein O
, O
dass O
sie O
das O
Telephon O
, O
das O
auf O
dem O
Schreibtisch O
stand O
, O
benutzen O
konnte O
, O
um O
die O
Polizei O
zu O
benachrichtigen O
. O
Ihr O
einziger O
Gedanke O
war O
, O
zu O
entfliehen O
und O
menschliche O
Hilfe O
herbeizuholen O
. O
Im O
nächsten O
Augenblick O
stand O
sie O
draussen O
in O
dem O
verschneiten O
Garten O
und O
rang O
nach O
Luft O
. O
Wo O
war O
doch O
noch O
das O
nächste O
Haus O
? O
Sie O
sah O
es O
drüben O
auf O
der O
anderen O
Seite O
des O
Weges O
liegen O
. O
Es O
war O
Rechtsanwalt O
Udvejs B-PER
Villa O
„ O
Friede O
“ O
. O
Kapitel O
II O
. O
Kjeldscn O
lind O
der O
Ilut O
. O
Vor O
Schreck O
leise O
vor O
sich O
hin O
wimmernd O
, O
watete O
Frau O
Halvorsen B-PER
durch O
den O
Schnee O
, O
als O
seien O
Gespenster O
oder O
Mörder O
hinter O
ihr O
her O
. O
Halb O
ohnmächtig O
erreichte O
sie O
Udvejs B-PER
Villa O
. O
Der O
Rechtsanwalt O
war O
nicht O
zu O
Hause O
, O
seine O
Frau O
aber O
hatte O
Hausschneiderei O
aus O
Anlass O
des O
bevorstehenden O
Königsjubiläums O
. O
Anfangs O
war O
es O
unmöglich O
, O
eine O
zusammenhängende O
Erklärung O
aus O
Frau O
Halvorsen B-PER
herauszubekommen O
. O
Das O
einzige O
, O
was O
man O
begriff O
, O
war O
, O
dass O
etwas O
Furchtbares O
geschehen O
wäre O
. O
Darum O
war O
die O
Verwirrung O
gross O
unter O
den O
schneidernden O
Damen O
, O
und O
Frau O
Udvej B-PER
versuchte O
die O
Alte O
zu O
trösten O
: O
„ O
Beruhigen O
Sie O
sich O
, O
Frau O
Halvorsen B-PER
“ O
, O
sagte O
sie O
eindringlich O
, O
„ O
es O
wird O
wohl O
nicht O
so O
schlimm O
sein O
. O
“ O
Nach O
und O
nach O
aber O
begriffen O
die O
Damen O
trotz O
Frau O
Halvorsens B-PER
unzusammenhängendem O
Bericht O
, O
um O
was O
es O
sich O
handelte O
: O
Ein O
Fremder O
auf O
dem O
Diwan O
... O
das O
Licht O
brannte O
... O
lag O
unbeweglich O
... O
schien O
tot O
zu O
sein O
... O
Herr O
Hammel B-PER
verreist O
... O
Haustür O
offen O
... O
schwarze O
Gitta B-PER
Alpar I-PER
, O
Gustav B-PER
Fröhlich I-PER
und O
Nora B-PER
Gregor I-PER
in O
dem O
Super-Grossfilm O
der O
Bayrischen O
Marlene B-PER
Dietrich I-PER
mit O
Brian B-PER
Aherne I-PER
in O
dem O
Film O
„ O
Das O
Hohe O
Lied O
“ O
nach O
dem O
Roman O
Filmgesellschaft O
„ O
Was O
Frauen O
träumen O
" O
von O
Sudermann B-PER
, O
der O
demnächst O
fertiggestellt O
wird O
Aufnahme O
Paramount-Studio B-ORG
# file:		F_SBB_00009_19100104_058_004_0_003
# sbb url:	http://zefys.staatsbibliothek-berlin.de/kalender/auswahl/date/1910-01-04/27971740/
# tel url:	http://www.theeuropeanlibrary.org/tel4/newspapers/issue/3000119059527?page=3
schule O
des O
Lettevereins B-ORG
auch O
männlichen O
Schülern O
geöffnet O
werde O
. O
Es O
ist O
dargelegt O
worden O
, O
daß O
der O
Letteverein B-ORG
bereit O
sei O
, O
Räume O
, O
Lehrmittel O
und O
Lehrkräfte O
seiner O
Anstalt O
für O
diesen O
Zweck O
gegen O
Vergüt»»? O
, O
zur O
Verfügung O
zu O
stellen O
, O
und O
daß O
von O
privater O
Seite O
‘23 O
, O
000 O
Mark O
-u O
Umbauten O
und O
zur O
Beschaffung O
von O
Lehrmitteln O
znsammengebracht O
worden O
seien O
. O
Der O
Handelsminister O
hat O
in O
Aussicht O
genommen O
, O
die O
Lchiile O
durch O
einmalige O
und O
laufende O
Zuschüsse O
von O
10 O
, O
000 O
Mark O
zu O
unterstützen O
Die O
laufenden O
Kosten O
sind O
auf O
14 O
, O
000 O
Mark O
berechnet O
, O
w O
daß O
noch O
4000 O
Mark O
an O
der O
Gesamtsumme O
fehlen O
. O
Der O
Magistrat O
hat O
deshalb O
beschlossen O
, O
folgenden O
Beschluß O
der O
Stadtverordnetenversammlung O
zur O
Annahme O
zu O
unterbreiten O
: O
Zur O
Unterstützung O
der O
vom O
Staat O
im O
Anschluß O
an O
die O
vom O
Letteverein B-ORG
unterhaltene O
photoarapliische O
Lehranstalt O
für O
weibliche O
Personen O
„ O
umnehr O
für O
männliche O
Personen O
zu O
errichtenden O
Lehranstalt O
wird O
ein O
Jahresbeitrag O
von O
500 O
Mark O
jährlich O
, O
und O
zwar O
auf O
fünf O
Jahre O
gewahrt O
unter O
der O
Bedingung O
, O
daß O
eine O
entsprechende O
Zahl O
Schöneberger B-LOC
Einwohner O
als O
Schüler O
berücksichtigt O
wird O
. O
Die O
Versammlung O
erklärte O
sich O
mit O
der O
Magistratsvorlage O
einverstanden O
. O
Jokalej O
—----- O
von O
einem O
UriininKlbeamten O
erschossen O
. O
Ein O
blutiger O
Vorgang O
hat O
sich O
in O
der O
verflossenen O
Nacht O
in O
der O
Wilhelmstraße B-LOC
abgespielt O
. O
Vor O
dem O
Hause O
Wilhelmstraße B-LOC
128 I-LOC
wurde O
der O
23 O
jährige O
Bauarbeiter O
Hermann B-PER
Schröter I-PER
, O
Milastraße B-LOC
5 I-LOC
wohnhaft O
, O
von O
dem O
Kriminalbeamten O
Brumme B-PER
erschossen O
. O
Es O
werden O
uns O
hierzu O
folgende O
Einzelheiten O
berichtet O
: O
In O
der O
Bellealliancestraße B-LOC
waren O
in O
der O
vergangenen O
Woche O
sechs O
Einbruchsdiebstähle O
verübt O
worden O
. O
Erst O
vorgestern O
waren O
zwei O
der O
Täter O
festgenommen O
worden O
. O
Um O
auch O
den O
übrigen O
Dieben O
auf O
die O
Spur O
zu O
kommen O
, O
legte O
sich O
der O
Kriminalbeamte O
Brumme B-PER
auf O
die O
Lauer O
. O
Heute O
früh O
um O
4stz O
Uhr O
drangen O
drei O
Männer O
auf O
dem O
Grundstück O
Bcllealliancestraße B-LOC
Nr I-LOC
. I-LOC
12 I-LOC
an O
der O
Ecke O
der O
syorkslraße B-LOC
in O
die O
Kellerwerkstatt O
des O
Schuhmachermeisters O
Siegfried B-PER
Schulz I-PER
ein O
, O
indem O
sie O
über O
die O
Brüstung O
in O
den O
Lichtschacht O
des O
Fensters O
hinabstiegen O
und O
dieses O
einschlugen O
. O
Vom O
Keller O
aus O
fliegen O
sie O
die O
Treppe O
hinauf O
nach O
dem O
Laden O
und O
erbeuteten O
daraus O
für O
400 O
bis O
500 O
Mark O
Herren- O
und O
Damenstiefel O
. O
Um O
alle O
drei O
und O
vielleicht O
auch O
den O
Hehler O
festnehmen O
zu O
können O
, O
folgte O
Brumme B-PER
den O
Einbrechern O
die O
Straße O
hinunter O
. O
Auf O
dem O
Belleallianceplatz B-LOC
aber O
merkte O
einer O
der O
Verfolgten O
, O
daß O
sie O
beobachtet O
wurden O
und O
rief O
seinen O
Spießgesellen O
zu O
: O
. O
Ein O
Fauler O
kommt O
. O
' O
Zwei O
der O
Verbrecher O
entflohen O
die O
Lindenstraße B-LOC
entlang O
und O
entkamen O
. O
Dem O
dritten O
, O
der O
einen O
schweren O
Sack O
mit O
Beute O
trug O
, O
folgte O
Brumme B-PER
in O
die O
Wilhelmstraße B-LOC
hinein O
. O
Als O
er O
den O
Dieb O
vor O
dem O
Hause O
Nr O
. O
128 O
zwischen O
dem O
Delleallianceplatz B-LOC
und O
der O
Hedemannstraße B-LOC
festnehmen O
wollte O
, O
wandte O
sich O
dieser O
um O
und O
schwang O
einen O
gestohlenen O
Schuhmacherhammer O
, O
um O
damit O
dem O
Beamten O
auf O
den O
Kopf O
zu O
schlagen O
. O
Brumme B-PER
kam O
jedoch O
dem O
Verbrecher O
zuvor O
, O
griff O
zu O
seiner O
Browningpistole O
und O
feuerte O
einen O
Schuß O
ab O
, O
der O
den O
Einbrecher O
in O
die O
Brust O
traf O
und O
auf O
der O
Stelle O
tötete O
. O
Beamte O
des O
85 O
. O
Polizeireviers O
brachten O
die O
Leiche O
des O
Erschossenen O
vorläufig O
nach O
dem O
Flur O
des O
Hauses O
Nr O
. O
128 O
, O
von O
wo O
sie O
nach O
Aufnahme O
des O
Befundes O
und O
der O
Vorgänge O
nach O
dem O
Schauhause O
übergeführt O
wurde O
. O
Der O
Erschossene O
wurde O
als O
der O
24 O
Jahre O
alte O
Bauarbeiter O
Hermann B-PER
Schröter I-PER
festgestellt O
, O
der O
in O
der O
Milastraße B-LOC
5 I-LOC
bei O
der O
Witwe O
Bedurke B-PER
in O
Schlafstelle O
wohnte O
. O
Ein O
unangenehmer O
Doppelgänger O
spielt O
dem O
Opernsänger- O
Jean B-PER
Nadolovilch I-PER
aus O
der O
Mommlenstraße B-LOC
56 I-LOC
allerhand O
böse O
Streiche O
. O
Der O
Sänger O
weilt O
seit O
zwei O
Jahren O
in O
Berlin B-LOC
und O
ist O
an O
der O
Soiiilscheil O
Oper O
tätig O
. O
Fast O
ebenso O
lange O
macht O
ihm O
der O
Doppelgänger O
zu O
schaffen O
. O
Erst O
waren O
es O
durchweg O
harmlose O
Geschichten O
. O
Eine O
Silvesternachtgeschichte O
hat O
jedoch O
, O
jetzt O
den O
Opernsänger O
veranlaßt O
, O
die O
Hilfe O
der O
Kriminalpolizei O
in O
Anspruch O
zu O
nehmen O
. O
Ein O
Arzt O
. O
der O
sich O
Simon O
oder O
Simen O
nannte O
, O
rief O
den O
Sänger O
durch O
den O
Fernsprecher O
an O
, O
sagte O
ihm O
einige O
. O
Schmeicheleien O
' O
und O
teilte O
ihm O
mit O
, O
daß O
er O
ihm O
seine O
Zeugen O
schicken O
werde O
, O
weil O
er O
sich O
in O
einem O
Lokal O
gegen O
die O
Frau O
des O
Arztes O
unanständig O
benommen O
habe O
. O
Die O
Zeugen O
sind O
zwar O
noch O
nicht O
erschienen O
, O
der O
Sänger O
hat O
aber O
sein O
Material O
nunmehr O
der O
Kriminalpolizei O
unterbreitet O
, O
um O
über O
seinen O
Doppelgänger O
endlich O
Klarheit O
zu O
erhalten O
. O
Demjenigen O
, O
der O
Angaben O
zur O
Ermittelung O
des O
Mannes O
macht O
, O
sichert O
er O
eine O
Belohnung O
von O
100 O
Mark O
zu O
. O
Etwaige O
Mitteilungen O
nimmt O
die O
Kriminalpolizei O
im O
Zimmer O
175 O
entgegen O
. O
Selbstmord O
im O
Tiergarten B-LOC
. O
In O
der O
vergangenen O
Nacht O
hat O
sich O
im O
Tiergarten B-LOC
der O
Btusensabrikant O
Richard B-PER
Jakobsohn I-PER
erschossen O
, O
der O
in O
der O
Spandauerstraße B-LOC
53 I-LOC
im O
dritten O
Stock O
seine O
Geschäftsräume O
hatte O
. O
Jakobsohn B-PER
, O
der O
37 O
Jahre O
alt O
und O
unverheiratet O
war O
, O
beschäftigte O
ausschließlich O
Heimarbeiter O
, O
außerdem O
zwei O
Buchhalter O
und O
einen O
Laufburschen O
. O
In O
der O
letzten O
Zeit O
klagte O
er O
wiederholt O
über O
Verluste O
. O
Diese O
haben O
ihn O
wohl O
in O
den O
Tod O
getrieben O
. O
Gestern O
nachmittag O
war O
er O
noch O
bis O
6 O
Uhr O
im O
Kontor O
tätig O
. O
Heute O
"Jlanc O
/ O
eteteii O
Von O
der O
Iliirse O
. O
Unter O
dem O
Einflüsse O
des O
gestrigen O
New-Yorker B-LOC
Verkehrs O
eröffnete O
die O
hiesige O
Börse O
fast O
auf O
der O
ganzen O
Linie O
in O
ausgesprochen O
schwacher O
Tendenz O
. O
Noch O
gestern O
waren O
an O
den O
europäischen O
Märkten O
in O
London B-LOC
wie O
in O
Berlin B-LOC
amerikanische O
Dividendenpapiere O
gesucht O
und O
teilweise O
namhaft O
höher O
bezahlt O
, O
art O
der O
darauf O
folgenden O
Wallstreetbörse O
führte O
aber O
die O
Erwartung O
einer O
für O
die O
Trusts O
ungünstig O
lautenden O
Spezialbotschaft O
des O
Präsidenten O
Taft B-PER
, O
noch O
mehr O
wohl O
aber O
eine O
wesentliche O
Steigerung O
der O
Geldsätze O
zu O
einer O
empfindlichen O
Ermattung O
in O
den O
Kursen O
der O
leitenden O
amerikanischen O
Effekten O
. O
Dazu O
kam O
gleich O
bei O
Beginn O
des O
Verkehrs O
ein O
namhaftes O
Angebot O
und O
besonders O
in O
Montan O
worten O
für O
Wiener B-LOC
Belehnung O
. O
In O
Wien B-LOC
soll O
ein O
Artikel O
der O
. O
Neuen B-ORG
Freien I-ORG
Presse I-ORG
“ O
über O
die O
börsentechnischen O
Positionen O
in O
Deutschland B-LOC
, O
also O
insbesondere O
über O
die O
Höhe O
derzeitiger O
Engagements O
dortiger O
Grossspekulanten O
zu O
Abgaben O
am O
hiesigen O
Markte O
veranlasst O
haben O
. O
Im O
einzelnen O
waren O
am O
Baukaktienmarkte O
für O
heimische O
Werte O
Kursrückgänge O
bis O
über O
1 O
pCt O
. O
zu O
verzeichnen O
; O
am O
meisten O
gaben O
natürlich O
die O
im O
Laufe O
der O
Zeit O
am O
stärksten O
gestiegenen O
Bankaktien O
im O
Korso O
nach O
, O
so O
die O
Anteile O
der O
Diskontogesellschaft O
und O
die O
Aktien O
des O
Schnaffliausenscho» B-ORG
Bankvereins I-ORG
. O
Gut O
behauptete O
Haltung O
bekundeten O
ihnen O
gegenüber O
russische O
Bankwerte O
. O
Am O
Montaaktienmarkte O
waren O
die O
Kursrückgänge O
bei O
den O
einzelnen O
Werten O
ebenfalls O
um O
so O
grösser O
, O
je O
stärker O
die O
Spekulation O
in O
der O
letzten O
Zeit O
die O
Papiere O
in O
die O
Höhe O
getrieben O
batte O
; O
so O
verloren O
die O
Aktien O
der O
Gelsenkirchener B-ORG
Bergwerksgesellschaft I-ORG
volle O
2 O
pCt O
.. O
die O
Aktien O
des O
Bochumer B-ORG
Vereins I-ORG
, O
der O
Rheinischen B-ORG
• I-ORG
Stahlwerke I-ORG
, O
der O
Hohenlohe-Werke B-ORG
, O
der O
Deutsch-Luxemburgischen B-ORG
Bergwerksgesellschaft I-ORG
und O
der O
llarpcner B-ORG
Bergbaugesellschaft I-ORG
a'/» O
bis O
3 O
pCt O
. O
, O
die O
Aktien O
der O
Roinbacher B-ORG
Hüttenwerke I-ORG
sogar O
über O
4 O
pCt O
. O
liurac O
gegen O
11 O
Uhr O
. O
Kreditaktien O
. . . O
211 O
, O
37 O
Wien B-LOC
. O
Bankverein O
138 O
, O
75 O
Länderhank O
. . . O
— O
Franzosen O
100 O
, O
37 O
Lombarden O
.... O
23 O
. O
02 O
Diskonto O
190 O
. O
00 O
Deutsche Bank B-ORG
. . O
249 O
, O
62 O
B O
. O
Handelsges. O
. . O
182 O
, O
02 O
Dresdner B-ORG
Bank I-ORG
. . O
102 O
, O
87 O
Darmstädt B-ORG
. I-ORG
Bank I-ORG
137 O
, O
63 O
Nationalbank B-ORG
. . . O
13u O
, O
12 O
Schaaflh B-ORG
. I-ORG
Bankv I-ORG
. O
148 O
, O
02 O
Komm O
. O
-tt O
. O
Disk O
. O
- O
B O
. O
116 O
, O
40 O
Russische B-ORG
Bank I-ORG
. O
15850 O
Lübecker O
185 O
, O
25 O
I O
’ O
rineo O
Henri B-PER
... O
185 O
, O
25 O
Warschau-Wien O
. O
130 O
, O
(0 O
Baltimore B-LOC
118 O
, O
20 O
Kanada B-LOC
Pennsylvania B-LOC
... O
Orientbahn B-ORG
.... O
Anatolier B-ORG
Mittelmeerbahn I-ORG
. O
Meridionalbahn B-ORG
. O
Gotthardbahn B-ORG
.. O
3" O
fori O
. O
Reiohs-Anl O
. O
Kuss O
. O
Anleihe O
1902 O
. O
Spanier O
3 O
"/o O
Portugiesen O
. O
4 O
■/« O
°/o O
Chinesen O
. O
Japaner O
Unit O
. O
Türken O
... O
Türkenlose O
.... O
8 O
i O
Buenos O
.... O
5 O
•/« O
Argentinier O
182 O
. O
C0 O
135 O
, O
00 O
131 O
. O
50 O
130 O
, O
00 O
85 O
, O
30 O
91 O
, O
00 O
Nordd B-ORG
Lloyd I-ORG
. . O
103 O
, O
02 O
Hmb O
. O
Paketfahrt O
135 O
, O
20 O
Hansa O
150 O
, O
90 O
Gr O
. O
Berl O
. O
Strassb O
. O
—.— O
Im O
frrien O
Verkehr O
per O
Cassa O
Laurahütte B-LOC
.... O
200 O
. O
02 O
Dortmunder O
. . . O
95 O
. O
25 O
Bochumer O
251 O
. O
10 O
Gelsenkirchen B-LOC
. . O
220 O
, O
25 O
llarnencr O
210 O
, O
30 O
Consolidation O
. . O
— O
Deutsch-Lux O
. O
Vz O
. O
218 O
. O
50 O
Khein O
. O
Stahlwerk O
. O
191 O
, O
90 O
Hohenlohe-Werk O
225 O
, O
90 O
Phönix O
220 O
, O
50 O
Edison O
202 O
, O
75 O
Dynamit-Trust O
. . O
179 O
, O
75 O
Kombach O
191 O
. O
— O
Deutsch-Uebers O
. O
189 O
, O
70 O
, O
Siemens B-ORG
». O
Halsko O
252 O
. O
87 O
, O
Siemens B-ORG
n O
. O
Schlickert O
140 O
, O
25 O
, O
Schantung O
1:0 O
, O
70 O
. O
Petersb B-ORG
. I-ORG
Int I-ORG
. I-ORG
Bank I-ORG
168 O
, O
25 O
. O
Berliner O
Produkt O
Icnbörse O
. O
Anhaltend O
ungünstige O
, O
Nachrichten O
Argentiniens B-LOC
, O
wo O
mehrseitigen O
Depeschen O
zufolge O
die O
Schaden O
wie O
die O
Verspätung O
sich O
bestätigen O
und O
die O
. O
Qualitäten O
wen O
verschlechtern O
sollen O
, O
regen O
den O
englischen O
96 O
, O
62 O
18M0 O
69 O
. O
25 O
179J5 O
früh O
fand O
man O
ihn O
im O
Tiergarten B-LOC
in O
der O
Nähe O
der O
Polizeiwache O
erschossen O
auf O
. O
Bei O
ihm O
fand O
man O
einen O
Zettel O
mit O
dem O
Bemerken O
, O
das O
Bekannte O
und O
Berwand'e O
ihn O
auf O
der O
Unfallstation O
zu O
Charlottenburg B-LOC
finden O
würden O
. O
Die O
Leiche O
wurde O
nach O
dem O
Schauhause O
gebracht O
. O
Das O
Geschäft O
wurde O
von O
der O
Polizei O
verschlossen O
. O
Der O
Einbruch O
in O
die O
Magdalenen-Kirche O
zu O
Nixdorf B-LOC
ist O
immer O
noch O
nicht O
aufgeklärt O
. O
In O
dem O
Sakristeischrank O
haben O
die O
Einbrecher O
nicht O
nur O
alle O
Kirchengeräte O
und O
mehrere O
gefüllte O
Opferbüchsen O
unberührt O
stehen O
gelassen O
, O
sondern O
auch O
eine O
Schale O
mit O
losem O
Gelde O
, O
das O
in O
der O
Kirche O
gesammelt O
worden O
war O
. O
Die O
gestohlenen O
Opferbüchsen O
fand O
man O
gestern O
bei O
den O
weiteren O
Ermittlungen O
auf O
der O
Treppe O
zur O
Empore O
erbrochen O
auf O
. O
Einige O
Münzen O
hatten O
die O
Einbrecher O
verloren O
. O
— O
Auch O
in O
die O
Lutherkirche O
in O
der O
Fuldastraße B-LOC
zu O
Rixdorf B-LOC
versuchten O
Diebe O
in O
der O
gestrigen O
Nacht O
einzubrechen O
. O
An O
dem O
linken O
Eingangstor O
fand O
man O
gestern O
Spuren O
von O
einem O
Stemmeisen O
. O
Es O
war O
den O
Dieben O
aber O
nicht O
gelungen O
, O
die O
Tür O
aufzubrechen O
. O
Reiche O
Beute O
machten O
Einbrecher O
in O
der O
vergangenen O
Nacht O
in O
dem O
Geschäft O
von O
Max B-PER
Spiegel I-PER
in O
der O
Wrangelstraße B-LOC
59 I-LOC
. O
Es O
fielen O
ihnen O
für O
3000 O
Mark O
Pelzkragen O
, O
Zylinderhüte O
, O
Nacht- O
und O
Trikot- O
Hemden O
, O
Taschentücher O
mit O
weißer O
und O
bunter O
Kante O
, O
Handschuhe O
, O
Hosenträger O
, O
Krawatten O
, O
Westen O
usw O
. O
in O
die O
Hände O
. O
Jugendliche O
Diebe O
. O
Wie O
alte O
Einbrecher O
arbeiteten O
junge O
Burschen O
gestern O
in O
der O
Selkestraße B-LOC
2 I-ORG
zu O
Rixdorf B-LOC
. O
Während O
die O
Konfitürenhändlerin O
Frau O
Klose B-PER
in O
ihrer O
Wohnung O
hinter O
dem O
Laden O
zu O
tun O
hatte O
, O
klingelte O
vorn O
ein O
Junge O
von O
neun O
Jahren O
und O
verlangte O
für O
5 O
Pfennige O
Bonbons O
. O
Frau O
Klose B-PER
ging O
nach O
dem O
Laden O
, O
ohne O
die O
beiden O
Stubenfenster O
, O
die O
sie O
geöffnet O
hatte O
, O
zu O
schließen O
. O
Vor O
der O
Tür O
sah O
sie O
einen O
Knaben O
, O
der O
auf O
ihren O
kleinen O
Kunden O
zu O
warten O
schien O
, O
auf O
und O
ab O
gehen O
. O
Bevor O
sie O
dazu O
kam O
, O
ihren O
Wohnraum O
wieder O
aufzusuchen O
, O
erschien O
der O
Junge O
noch O
zweimal O
, O
um O
jedesmal O
für O
fünf O
Pfennige O
Näschereien O
zu O
kaufen O
. O
Als O
sie O
dann O
ihre O
Sinke O
wieder O
betrat O
, O
fand O
sie O
daß O
ihr O
alle O
Wertsachen O
daraus O
gestohlen O
worden O
waren O
. O
Ohne O
Zweifel O
war O
ein O
dritter O
Junge O
, O
während O
sie O
im O
Laden O
zu O
tun O
hatte O
, O
durch O
ein O
Fenster O
eingestiegen O
und O
hatte O
ihre O
silberne O
Damenuhr O
mit O
Kette O
, O
eine O
goldene O
Halskette O
, O
einen O
goldenen O
Ring O
, O
ein O
goldenes O
Armband O
und O
andere O
Wertsachen O
gestohlen O
. O
Unterschleife O
bei O
der O
altffchechlschen O
Bank O
. O
Prag B-LOC
, O
3 O
. O
Januar O
. O
In O
der O
vor O
einem O
Jahr O
gegründeten O
alttschechischen O
Bank O
Eeska B-ORG
. I-ORG
Banka I-ORG
, O
deren O
Vorstand O
der O
frühere O
Prager O
Bürgermeister O
Tr. O
S r ö' O
in O
Wien B-LOC
ist O
, O
wurden O
vor O
einiger O
Zeit O
größere O
Unterschliefe O
im O
Betrages O
von O
600,000 O
Kronen O
, O
das O
ist O
ein O
Sechstel O
des O
